"<a href="""%s""">Please check your module configuration</a> or create your wallet in <a href="""%s""">Lemonway BO</a>.","<a href="""%s""">Veuillez vérifier la configuration du module</a> ou créer votre premier wallet sur <a href="""%s""">le BO Lemonway</a>."
"",""
"Action","Action"
"Add Wallet","Ajouter un wallet"
"Allow One clic","Autoriser le one clic"
"Amount to pay","Montant à payer"
"An error occurred while updating the wallets.","Une erreur est survenue lors de la mise à jour des wallets."
"An error occurred. Please contact support.","Une erreur est survenue. Veuillez contacter le support."
"Are you sure?","Etes vous sûr ?"
"Auto commission","Auto commission"
"Balance","Solde"
"Birth country","Pays de naissance"
"Call requests in test API Endpoint","Les appels à l'API se feront sur l'url de test et avec vos identifiants de test."
"Card ID one clic","Id de la carte enregistrée"
"Css url","Url de votre fichier CSS"
"CSV","CSV"
"Change Is Admin","Change Is Admin"
"Change Is One time customer","Change Is One time customer"
"Change Is company","Change Is company"
"Change Is debtor","Change Is debtor"
"Change Is default","Change Is default"
"Change status","Change status"
"City of Birth","Ville de naissance"
"City","Ville"
"Commission amount","Montant de la commission"
"Company ID number","SIRET/SIREN de la société"
"Company description","Description de la société"
"Company name","Nom de la société"
"Company website","Site web de la société"
"Could not find wallet to delete.","Le wallet à supprimer n'a pas été trouvé."
"Country","Pays"
"Created at","Créé le"
"Current balance","Solde actuel"
"Customer ID","ID du Client"
"Customer not found!","Le client n'a pas été trouvé!"
"Delete Wallet","Supprimé le wallet"
"Delete","Supprimer"
"Disabled","Désactivé"
"Display checkbox in frontend form","Affiche les boites à cocher sur le formulaire de la méthode en front (checkout)"
"Dob","Date de naissance"
"Edit Wallet '%s'","Editer le wallet '%s'"
"Edit","Editer"
"Email","Email"
"Email related to your wallet. It's used for retrieve wallet's informations.","Email correspondant à votre wallet. Il sera utilisé pour récupérer les informations du wallet."
"Enabled","Activé"
"Enable debug log","Activer les log du debug"
"Enable test mode","Activer le mode test"
"Error saving wallet","Erreur de sauvegarde du wallet"
"Excel","Excel"
"Firstname","Prénom"
"Home","Accueil"
"Iban informations","Information des Ibans"
"Id","Id"
"If <b>No</b> <u>you must fill field Commission amount below</u>.","Si <b>Non</b> <u>vous devez renseigner le champs Commission ci-dessous.</u>."
"Is Admin","Est Admin"
"Is One time customer","Is One time customer"
"Is company","Is company"
"Is Blocked","Is Blocked"
"Is debtor","Is debtor"
"Is default","Is default"
"It's the wallet where your payments are credited.You must to create it in BO Lemonway","Il s'agit du wallet qui sera crédité des paiements entrants. Vous devez le créer sur le BO Lemonway."
"Lastname","Nom"
"Lemonway ID","Lemonway ID"
"Lemonway account configuration","Configuration du compte Lemonway"
"Lemonway payment","Lemonway"
"Lemonway payment method (webkit)","Lemonway - Webkit"
"Log all queries to and from lemonway API","Log toutes les requêtes entrantes/sortantes de l'API"
"Mobile Number","Numéro mobile"
"Money In with Card Id for order #%s","MoneyIn avec Id de carte pour la commande #%s"
"MoneyOut","Money out"
"Money out","Money out"
"Moneyout from Magento module","Moneyout depuis le module magento"
"Nationality","Nationalité"
"No","Non"
"None","Aucun"
"Not use recorded card data","Ne pas utliser ma carte enregistrer"
"Owner name","Nom du porteur"
"Owner email","Email du porteur"
"Pay","Payer"
"Payer or beneficiary","Payeur ou bénéficiaire"
"Payment informations","Informations du paiement money out"
"Phone Number","Numéro de téléphone"
"Please create at least one for wallet <b>%s</b> in <a href="""%s""">Lemonway BO </a>.","Veuillez en créer au moins un pour le wallet <b>%s</b> sur le <a href="""%s""">BO lemonway</a>."
"Please select wallets to delete.","Veuillez sélectionner les wallets à supprimer"
"Please select wallets.","Veuillez sélectionner les wallets."
"Postcode","Code postal"
"Prefix","Préfix"
"Production Api login","Login de production de l'API"
"Production Api password","Mot de passe de production de l'API"
"Save your card data for a next buy.","Enregister une empreinte de carte pour faciliter mes prochains achats."
"Reset","Reset"
"Save And Continue Edit","Sauvegarder et continuer l'édition"
"Save new card data","Enregister une nouvelle empreinte de carte"
"Save Wallet","Sauvegarder le wallet"
"Status","Statut"
"Store views","Vue magasin"
"Street","Rue"
"Title","Titre"
"The wallets has been deleted.","Le wallet a bien été supprimé."
"There was a problem saving the wallet.","Il y a eu un problème lors de la sauvegarde du wallet."
"There was an error deleting wallet.","Il y a eu un problème lors de la suppression du wallet."
"There was an error deleting wallets.","Il y a eu un problème lors de la suppression des wallets."
"There was an error updating wallets.","Il y a eu un problème lors de la mise ) jour des wallets."
"This wallet no longer exists.","Ce wallet n'existe plus."
"Total of %d record(s) have been deleted.","%d enregistrements supprimés."
"Total of %d record(s) have been updated.","%d enregistrements mis à jour."
"Total of %d wallets were successfully deleted.","%d wallets supprimés."
"Total of %d wallets were successfully updated.","%d wallets mis à jours."
"Unable to find wallet to save.","Le wallet à sauvegarder n'a pas été trouvé."
"Updated at","Mis à jour le"
"Use my recorded card","Utiliser ma carte enregistrée"
"WYSIWYG Editor","WYSIWYG Editor"
"Wallet informations","Information du wallet"
"Wallet ID","Wallet ID"
"Wallet was saved","Le wallet à été sauvegardé"
"Wallet was successfully deleted.","Le wallet à été supprimé"
"Wallet was successfully saved","Le wallet à été sauvegardé"
"Wallet","Wallet"
"Wallets","Wallets"
"We can't retrieve your wallet!","Les informations de votre wallet n'ont pu être récupérer!"
"XML","XML"
"Yes","Oui"
"You can't paid amount upper of your balance amount: %s","Vous ne pouvez pas payer un montant supérieur à votre solde de %s"
"You don't have any Iban!","Vous n'avez aucun Iban enregistré!"
"You paid %s to your Iban %s from your wallet <b>%s</b>","Vous avez payer %s vers l'IBAN %s depuis le wallet <b>%s</b>"
"You will be redirect to payment page after you submit order.","Vous serez redirigé vers la page de paiement après avoir validé votre commande."
"Your order will be paid with your registered card after you submit order","Votre commande sera payée avec votre carte enregistrée dés que vous aurez validé votre commande."
"Your wallet email","L'email de votre wallet"
"Your wallet ID","L'ID de votre wallet"
"Card Num (one clic)","Numéro de la carte enregistrée"
"Card Expiration date (one clic)","Date d'expiration de la carte enregistrée"
"Card type (one clic)","Type de carte enregistrée"
"Actual card","Carte enregistrée"
"Expiration date","Date expiration"
"Webkit Url","Url du service Webkit"
"Directkit Url","Url du service Directkit"
"Directkit Url Test","Url de test du service Directkit"
"Webkit Url Test","Url de test du service Webkit"
"Lemonway payment","Paiement Lemonway"
"Lemonway Payment","Paiement Lemonway"
"Lemonway Account Information","Informations sur votre compte "
"Wallet Information","Détails de votre wallet"
"You don't have a wallet!","Vous n'avez aucun wallet !"
"<strong>%d</strong> document(s) uploaded.","<strong>%d</strong> document(s) envoyé(s)."
"Upload a new document","Envoyer un nouveau document"
"Holder","Titulaire"
"Iban,"Iban"
"Bic",Bic"
"You don't have any Iban!","Vous n'avez aucun Iban !"
"Add an Iban","Ajouter un Iban"
"Money out","Virement bancaire"
"Your ten last money out","Vos dix derniers virements bancaires"
"Amount","Montant"
"New balance","Nouveau solde"
"Date","Date"
"You don't have any Money out!","Vous n'avez effectué aucun virement bancaire."
"Do a money out","Effectuer un virement"
"Account number","Numéro Iban du compte"
"Money out Informations","Informations du virement"
"Your current balance: <b>%s</b>","Solde actuel: <b>%s</b>"
"Ibans list","Liste des Ibans"
"Select a creditor account","Sélectionnez le compte créditeur"
"Amount to transfert","Montant à transférer"
"Back","Retour au tableau de bord Lemonway",
"Do my money out","Effectuer mon virement"
"Bank account informations","Information du compte bancaire"
"Holder account name","Nom complet du titulaire du compte"
"Iban Number","Numéro de l'Iban"
"Bic number","Numéro du BIC"
"Agency","Agence"
"Agency name","Nom de votre agence"
"Agency street","Rue de l'agence"
"Agency street name","Le nom de la rue de votre agence"
"Save Iban","Sauvegarder L'iban"
"Document upload","Envoi de documents"
"Document type","Type de document"
"Select a document type","Sélectionenz un type de document"
"Document to upload","Document à envoyer"
"Upload","Envoyer"
"Send payment for order %s","Envoi d'un paiement pour la commande %s"
"Lemonway Marketplace configuration","Configuration Lemonway - Marketplace"
"Auto commission","Commission automatique"
"If <b>No</b> <u>you must fill field Commission amount below</u>.","Si la valeur est à <b>Non</b> <u>vous devez renseigner un montant pour prélever une commssion à chaque <b>money out</b> de vos marchands.</u>."
"Commission amount","Montant de la commission"
"Automatic wallet creation","Création de wallet marchand automatique"
"Please select a document type","Veuillez sélectionner un type document à envoyer"
"Document uploaded.","Document Envoyé."
"There is no error, the file uploaded with success","Fichier envoyé"
"The uploaded file exceeds the upload_max_filesize directive in php.ini","Fichier trop volumineux (4M max.)"
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form","Fichier trop volumineux (4M max.)"
"The uploaded file was only partially uploaded","Envoi incomplet"
"No file was uploaded","Veuillez sélectionner un fichier"
"Missing a temporary folder","Erreur serveur. Contacter le support."
"Failed to write file to disk.","Erreur serveur. Contacter le support."
"A PHP extension stopped the file upload.","Erreur serveur. Contacter le support."
"Iban saved.","Iban enregistré."
"Iban not found","Iban non trouvé"
"Is not your Iban!","Ce n'est pas votre Iban!"
"You can't paid amount upper of your balance amount: %s","Vous de pouvez pas transférer un montant supérieur à %s"
"Moneyout from Magento module by cutomer %s","Moneyout from magento by %s"
"You paid %s to your Iban %s from your wallet <b>%s</b>","Vous avez transféré %s sur votre compte %s depuis votre wallet <b>%s</b>"
"Create my wallet","Créer mon wallet"
"You already have a wallet!","Vous avez déjà un wallet!"
"Wallet created.","Wallet créé."
"Your account is not validated!","Votre compte marchand n'est pas validé!"
"You are not a merchant partner!","Vous n'êtes pas un marchand partenaire!"
"You must to create wallet before!","Vous devez d'abord créer votre wallet!"
"Document only received","Document reçu uniquement"
"Document checked and accepted","Document vérifié et accepté"
"Document checked but not accepted","Document vérifié mais pas accepté"
"Document replaced by another document","Document remplacé par un autre document"
"Document validity expired","Validité du document expiré"
"ID card (UE)","Carte d'identité (Zone UE)"
"Proof of address","Justificatif de domicile"
"RIB","RIB"
"Passport (UE)","Passeport (UE)"
"Passport (Not UE)","Passeport (NON UE)"
"Residence permit","Carte de séjour"
"Kbis","Kbis"
"Miscellaneous","Divers"
